CALL_FUNCTION 0x83
DUP_TOP 0x4
INPLACE_FLOOR_DIVIDE 0x1c
MAP_ADD 0x93
BINARY_XOR 0x41
END_FINALLY 0x58
RETURN_VALUE 0x53
POP_BLOCK 0x57
SETUP_LOOP 0x78
BUILD_SET 0x68
POP_TOP 0x1
EXTENDED_ARG 0x91
SETUP_FINALLY 0x7a
INPLACE_TRUE_DIVIDE 0x1d
CALL_FUNCTION_KW 0x8d
INPLACE_AND 0x4d
SETUP_EXCEPT 0x79
STORE_NAME 0x5a
IMPORT_NAME 0x6c
LOAD_GLOBAL 0x74
LOAD_NAME 0x65
FOR_ITER 0x5d
EXEC_STMT 0x55
DELETE_NAME 0x5b
BUILD_LIST 0x67
COMPARE_OP 0x6b
BINARY_OR 0x42
INPLACE_MULTIPLY 0x39
STORE_FAST 0x7d
CALL_FUNCTION_VAR 0x8c
SET_ADD 0x92
LOAD_LOCALS 0x52
CONTINUE_LOOP 0x77
PRINT_EXPR 0x46
DELETE_GLOBAL 0x62
GET_ITER 0x44
STOP_CODE 0x0
UNARY_NOT 0xc
BINARY_LSHIFT 0x3e
LOAD_CLOSURE 0x87
IMPORT_STAR 0x54
INPLACE_OR 0x4f
BINARY_SUBTRACT 0x18
STORE_MAP 0x36
INPLACE_ADD 0x37
INPLACE_LSHIFT 0x4b
INPLACE_MODULO 0x3b
STORE_ATTR 0x5f
BUILD_MAP 0x69
SETUP_WITH 0x8f
BINARY_DIVIDE 0x15
INPLACE_RSHIFT 0x4c
PRINT_ITEM_TO 0x49
UNPACK_SEQUENCE 0x5c
BINARY_MULTIPLY 0x14
PRINT_NEWLINE_TO 0x4a
NOP 0x9
LIST_APPEND 0x5e
INPLACE_XOR 0x4e
STORE_GLOBAL 0x61
INPLACE_SUBTRACT 0x38
INPLACE_POWER 0x43
ROT_FOUR 0x5
DELETE_SUBSCR 0x3d
BINARY_AND 0x40
BREAK_LOOP 0x50
MAKE_FUNCTION 0x84
DELETE_SLICE+1 0x33
DELETE_SLICE+0 0x32
DUP_TOPX 0x63
CALL_FUNCTION_VAR_KW 0x8e
LOAD_ATTR 0x6a
BINARY_TRUE_DIVIDE 0x1b
ROT_TWO 0x2
IMPORT_FROM 0x6d
DELETE_FAST 0x7e
BINARY_ADD 0x17
LOAD_CONST 0x64
STORE_DEREF 0x89
UNARY_NEGATIVE 0xb
UNARY_POSITIVE 0xa
STORE_SUBSCR 0x3c
BUILD_TUPLE 0x66
BINARY_POWER 0x13
BUILD_CLASS 0x59
UNARY_CONVERT 0xd
BINARY_MODULO 0x16
DELETE_SLICE+3 0x35
DELETE_SLICE+2 0x34
WITH_CLEANUP 0x51
DELETE_ATTR 0x60
POP_JUMP_IF_TRUE 0x73
JUMP_IF_FALSE_OR_POP 0x6f
PRINT_ITEM 0x47
RAISE_VARARGS 0x82
SLICE+0 0x1e
SLICE+1 0x1f
SLICE+2 0x20
SLICE+3 0x21
POP_JUMP_IF_FALSE 0x72
LOAD_DEREF 0x88
LOAD_FAST 0x7c
JUMP_IF_TRUE_OR_POP 0x70
BINARY_FLOOR_DIVIDE 0x1a
BINARY_RSHIFT 0x3f
BINARY_SUBSCR 0x19
YIELD_VALUE 0x56
ROT_THREE 0x3
STORE_SLICE+0 0x28
STORE_SLICE+1 0x29
STORE_SLICE+2 0x2a
STORE_SLICE+3 0x2b
UNARY_INVERT 0xf
PRINT_NEWLINE 0x48
INPLACE_DIVIDE 0x3a
BUILD_SLICE 0x85
JUMP_ABSOLUTE 0x71
MAKE_CLOSURE 0x86
JUMP_FORWARD 0x6e
